"","station","UTC","temp","node","day"
"1","KW24",2015-06-22,25.3,"KWLine_outside",2015-06-22
"2","KW23",2015-06-22,25.3,"KWLine_outside",2015-06-22
"3","KW22",2015-06-22,25,"KWLine_outside",2015-06-22
"4","KW21",2015-06-22,24.7,"KWLine_outside",2015-06-22
"5","KW20",2015-06-22,24.9,"KWLine_outside",2015-06-22
"6","KW19",2015-06-22,25.2,"KWLine_outside",2015-06-22
"7","KW24",2015-06-23,27.4,"KWLine_outside",2015-06-23
"8","KW23",2015-06-23,28.1,"KWLine_outside",2015-06-23
"9","KW22",2015-06-23,27.2,"KWLine_outside",2015-06-23
"10","KW21",2015-06-23,26.8,"KWLine_outside",2015-06-23
"11","KW20",2015-06-23,27.9,"KWLine_outside",2015-06-23
"12","KW19",2015-06-23,27.9,"KWLine_outside",2015-06-23
"13","KW24",2015-06-24,28.4,"KWLine_outside",2015-06-24
"14","KW23",2015-06-24,29.2,"KWLine_outside",2015-06-24
"15","KW22",2015-06-24,27.5,"KWLine_outside",2015-06-24
"16","KW21",2015-06-24,27.3,"KWLine_outside",2015-06-24
"17","KW20",2015-06-24,29.5,"KWLine_outside",2015-06-24
"18","KW19",2015-06-24,29.9,"KWLine_outside",2015-06-24
"19","KW24",2015-06-25,29,"KWLine_outside",2015-06-25
"20","KW23",2015-06-25,29.5,"KWLine_outside",2015-06-25
"21","KW22",2015-06-25,27.7,"KWLine_outside",2015-06-25
"22","KW21",2015-06-25,27.6,"KWLine_outside",2015-06-25
"23","KW20",2015-06-25,29.4,"KWLine_outside",2015-06-25
"24","KW19",2015-06-25,29.9,"KWLine_outside",2015-06-25
"25","KW24",2015-06-26,29.3,"KWLine_outside",2015-06-26
"26","KW23",2015-06-26,29.5,"KWLine_outside",2015-06-26
"27","KW22",2015-06-26,28.1,"KWLine_outside",2015-06-26
"28","KW21",2015-06-26,28.7,"KWLine_outside",2015-06-26
"29","KW20",2015-06-26,29.4,"KWLine_outside",2015-06-26
"30","KW19",2015-06-26,29.8,"KWLine_outside",2015-06-26
"31","KW24",2015-06-27,29.2,"KWLine_outside",2015-06-27
"32","KW23",2015-06-27,29.4,"KWLine_outside",2015-06-27
"33","KW22",2015-06-27,29.1,"KWLine_outside",2015-06-27
"34","KW21",2015-06-27,28.9,"KWLine_outside",2015-06-27
"35","KW20",2015-06-27,29.4,"KWLine_outside",2015-06-27
"36","KW19",2015-06-27,29.8,"KWLine_outside",2015-06-27
"37","KW24",2015-06-28,29.1,"KWLine_outside",2015-06-28
"38","KW23",2015-06-28,29.5,"KWLine_outside",2015-06-28
"39","KW22",2015-06-28,29.2,"KWLine_outside",2015-06-28
"40","KW21",2015-06-28,29.1,"KWLine_outside",2015-06-28
"41","KW20",2015-06-28,29.5,"KWLine_outside",2015-06-28
"42","KW19",2015-06-28,30,"KWLine_outside",2015-06-28
"43","KW24",2015-06-29,28.9,"KWLine_outside",2015-06-29
"44","KW23",2015-06-29,29.4,"KWLine_outside",2015-06-29
"45","KW22",2015-06-29,29.2,"KWLine_outside",2015-06-29
"46","KW21",2015-06-29,28.9,"KWLine_outside",2015-06-29
"47","KW20",2015-06-29,29.5,"KWLine_outside",2015-06-29
"48","KW19",2015-06-29,29.9,"KWLine_outside",2015-06-29
"49","KW24",2015-06-30,28.8,"KWLine_outside",2015-06-30
"50","KW23",2015-06-30,29.5,"KWLine_outside",2015-06-30
"51","KW22",2015-06-30,29.1,"KWLine_outside",2015-06-30
"52","KW21",2015-06-30,28.8,"KWLine_outside",2015-06-30
"53","KW20",2015-06-30,29.5,"KWLine_outside",2015-06-30
"54","KW19",2015-06-30,30,"KWLine_outside",2015-06-30
"55","KW24",2015-07-01,28.8,"KWLine_outside",2015-07-01
"56","KW23",2015-07-01,29.5,"KWLine_outside",2015-07-01
"57","KW22",2015-07-01,29.1,"KWLine_outside",2015-07-01
"58","KW21",2015-07-01,28.8,"KWLine_outside",2015-07-01
"59","KW20",2015-07-01,29.7,"KWLine_outside",2015-07-01
"60","KW19",2015-07-01,30.2,"KWLine_outside",2015-07-01
"61","KW24",2015-07-02,28.9,"KWLine_outside",2015-07-02
"62","KW23",2015-07-02,29.7,"KWLine_outside",2015-07-02
"63","KW22",2015-07-02,29.1,"KWLine_outside",2015-07-02
"64","KW21",2015-07-02,28.9,"KWLine_outside",2015-07-02
"65","KW20",2015-07-02,29.8,"KWLine_outside",2015-07-02
"66","KW19",2015-07-02,30.5,"KWLine_outside",2015-07-02
"67","KW24",2015-07-03,29.5,"KWLine_outside",2015-07-03
"68","KW23",2015-07-03,30.1,"KWLine_outside",2015-07-03
"69","KW22",2015-07-03,29.4,"KWLine_outside",2015-07-03
"70","KW21",2015-07-03,29.3,"KWLine_outside",2015-07-03
"71","KW20",2015-07-03,30.1,"KWLine_outside",2015-07-03
"72","KW19",2015-07-03,30.6,"KWLine_outside",2015-07-03
"73","KW24",2015-07-04,29.8,"KWLine_outside",2015-07-04
"74","KW23",2015-07-04,30.1,"KWLine_outside",2015-07-04
"75","KW22",2015-07-04,29.7,"KWLine_outside",2015-07-04
"76","KW21",2015-07-04,29.5,"KWLine_outside",2015-07-04
"77","KW20",2015-07-04,29.9,"KWLine_outside",2015-07-04
"78","KW19",2015-07-04,30.3,"KWLine_outside",2015-07-04
"79","KW24",2015-07-05,29.8,"KWLine_outside",2015-07-05
"80","KW23",2015-07-05,30.1,"KWLine_outside",2015-07-05
"81","KW22",2015-07-05,29.8,"KWLine_outside",2015-07-05
"82","KW21",2015-07-05,29.6,"KWLine_outside",2015-07-05
"83","KW20",2015-07-05,29.9,"KWLine_outside",2015-07-05
"84","KW19",2015-07-05,30.3,"KWLine_outside",2015-07-05
"85","KW24",2015-07-06,29.8,"KWLine_outside",2015-07-06
"86","KW23",2015-07-06,30.1,"KWLine_outside",2015-07-06
"87","KW22",2015-07-06,29.9,"KWLine_outside",2015-07-06
"88","KW21",2015-07-06,29.6,"KWLine_outside",2015-07-06
"89","KW20",2015-07-06,30,"KWLine_outside",2015-07-06
"90","KW19",2015-07-06,30.3,"KWLine_outside",2015-07-06
"91","KW24",2015-07-07,29.9,"KWLine_outside",2015-07-07
"92","KW23",2015-07-07,30.2,"KWLine_outside",2015-07-07
"93","KW22",2015-07-07,29.9,"KWLine_outside",2015-07-07
"94","KW21",2015-07-07,29.7,"KWLine_outside",2015-07-07
"95","KW20",2015-07-07,30.1,"KWLine_outside",2015-07-07
"96","KW19",2015-07-07,30.5,"KWLine_outside",2015-07-07
"97","KW24",2015-07-08,29.9,"KWLine_outside",2015-07-08
"98","KW23",2015-07-08,30.2,"KWLine_outside",2015-07-08
"99","KW22",2015-07-08,30.1,"KWLine_outside",2015-07-08
"100","KW21",2015-07-08,29.9,"KWLine_outside",2015-07-08
"101","KW20",2015-07-08,30.2,"KWLine_outside",2015-07-08
"102","KW19",2015-07-08,30.6,"KWLine_outside",2015-07-08
"103","KW24",2015-07-09,29.9,"KWLine_outside",2015-07-09
"104","KW23",2015-07-09,30.1,"KWLine_outside",2015-07-09
"105","KW22",2015-07-09,30.3,"KWLine_outside",2015-07-09
"106","KW21",2015-07-09,30,"KWLine_outside",2015-07-09
"107","KW20",2015-07-09,30.1,"KWLine_outside",2015-07-09
"108","KW19",2015-07-09,30.6,"KWLine_outside",2015-07-09
"109","KW24",2015-07-10,30.1,"KWLine_outside",2015-07-10
"110","KW23",2015-07-10,30.1,"KWLine_outside",2015-07-10
"111","KW22",2015-07-10,30.2,"KWLine_outside",2015-07-10
"112","KW21",2015-07-10,29.9,"KWLine_outside",2015-07-10
"113","KW20",2015-07-10,30.1,"KWLine_outside",2015-07-10
"114","KW19",2015-07-10,30.6,"KWLine_outside",2015-07-10
"115","KW24",2015-07-11,30,"KWLine_outside",2015-07-11
"116","KW23",2015-07-11,30.1,"KWLine_outside",2015-07-11
"117","KW22",2015-07-11,30.1,"KWLine_outside",2015-07-11
"118","KW21",2015-07-11,29.8,"KWLine_outside",2015-07-11
"119","KW20",2015-07-11,29.8,"KWLine_outside",2015-07-11
"120","KW19",2015-07-11,30.2,"KWLine_outside",2015-07-11
"121","KW24",2015-07-12,30,"KWLine_outside",2015-07-12
"122","KW23",2015-07-12,30.1,"KWLine_outside",2015-07-12
"123","KW22",2015-07-12,29.9,"KWLine_outside",2015-07-12
"124","KW21",2015-07-12,29.6,"KWLine_outside",2015-07-12
"125","KW20",2015-07-12,29.9,"KWLine_outside",2015-07-12
"126","KW19",2015-07-12,30.4,"KWLine_outside",2015-07-12
"127","KW24",2015-07-13,29.9,"KWLine_outside",2015-07-13
"128","KW23",2015-07-13,30.1,"KWLine_outside",2015-07-13
"129","KW22",2015-07-13,30.1,"KWLine_outside",2015-07-13
"130","KW21",2015-07-13,29.9,"KWLine_outside",2015-07-13
"131","KW20",2015-07-13,30,"KWLine_outside",2015-07-13
"132","KW19",2015-07-13,30.4,"KWLine_outside",2015-07-13
"133","KW24",2015-07-14,29.6,"KWLine_outside",2015-07-14
"134","KW23",2015-07-14,30,"KWLine_outside",2015-07-14
"135","KW22",2015-07-14,30.1,"KWLine_outside",2015-07-14
"136","KW21",2015-07-14,29.8,"KWLine_outside",2015-07-14
"137","KW20",2015-07-14,29.9,"KWLine_outside",2015-07-14
"138","KW19",2015-07-14,30.3,"KWLine_outside",2015-07-14
"139","KW24",2015-07-15,29.7,"KWLine_outside",2015-07-15
"140","KW23",2015-07-15,30.1,"KWLine_outside",2015-07-15
"141","KW22",2015-07-15,30.1,"KWLine_outside",2015-07-15
"142","KW21",2015-07-15,29.8,"KWLine_outside",2015-07-15
"143","KW20",2015-07-15,30.1,"KWLine_outside",2015-07-15
"144","KW19",2015-07-15,30.4,"KWLine_outside",2015-07-15
"145","KW24",2015-07-16,29.7,"KWLine_outside",2015-07-16
"146","KW23",2015-07-16,30.2,"KWLine_outside",2015-07-16
"147","KW22",2015-07-16,30.2,"KWLine_outside",2015-07-16
"148","KW21",2015-07-16,29.9,"KWLine_outside",2015-07-16
"149","KW20",2015-07-16,30.3,"KWLine_outside",2015-07-16
"150","KW19",2015-07-16,30.7,"KWLine_outside",2015-07-16
"151","KW24",2015-07-17,30.2,"KWLine_outside",2015-07-17
"152","KW23",2015-07-17,30.2,"KWLine_outside",2015-07-17
"153","KW22",2015-07-17,29.7,"KWLine_outside",2015-07-17
"154","KW21",2015-07-17,29.5,"KWLine_outside",2015-07-17
"155","KW20",2015-07-17,30.4,"KWLine_outside",2015-07-17
"156","KW19",2015-07-17,30.8,"KWLine_outside",2015-07-17
"157","KW24",2015-07-18,29.7,"KWLine_outside",2015-07-18
"158","KW23",2015-07-18,30.1,"KWLine_outside",2015-07-18
"159","KW22",2015-07-18,29.7,"KWLine_outside",2015-07-18
"160","KW21",2015-07-18,29.5,"KWLine_outside",2015-07-18
"161","KW20",2015-07-18,30.4,"KWLine_outside",2015-07-18
"162","KW19",2015-07-18,30.7,"KWLine_outside",2015-07-18
"163","KW24",2015-07-19,29.9,"KWLine_outside",2015-07-19
"164","KW23",2015-07-19,30.2,"KWLine_outside",2015-07-19
"165","KW22",2015-07-19,29.8,"KWLine_outside",2015-07-19
"166","KW21",2015-07-19,29.5,"KWLine_outside",2015-07-19
"167","KW20",2015-07-19,30.5,"KWLine_outside",2015-07-19
"168","KW19",2015-07-19,30.8,"KWLine_outside",2015-07-19
"169","KW24",2015-07-20,29.8,"KWLine_outside",2015-07-20
"170","KW23",2015-07-20,30.2,"KWLine_outside",2015-07-20
"171","KW22",2015-07-20,29.9,"KWLine_outside",2015-07-20
"172","KW21",2015-07-20,29.5,"KWLine_outside",2015-07-20
"173","KW20",2015-07-20,30.2,"KWLine_outside",2015-07-20
"174","KW19",2015-07-20,30.4,"KWLine_outside",2015-07-20
"175","KW24",2015-07-21,29.6,"KWLine_outside",2015-07-21
"176","KW23",2015-07-21,30.4,"KWLine_outside",2015-07-21
"177","KW22",2015-07-21,30.1,"KWLine_outside",2015-07-21
"178","KW21",2015-07-21,29.7,"KWLine_outside",2015-07-21
"179","KW20",2015-07-21,30.2,"KWLine_outside",2015-07-21
"180","KW19",2015-07-21,30.6,"KWLine_outside",2015-07-21
"181","KW24",2015-07-22,29.6,"KWLine_outside",2015-07-22
"182","KW23",2015-07-22,30.5,"KWLine_outside",2015-07-22
"183","KW22",2015-07-22,30.2,"KWLine_outside",2015-07-22
"184","KW21",2015-07-22,29.9,"KWLine_outside",2015-07-22
"185","KW20",2015-07-22,30.3,"KWLine_outside",2015-07-22
"186","KW19",2015-07-22,30.6,"KWLine_outside",2015-07-22
"187","KW24",2015-07-23,29.7,"KWLine_outside",2015-07-23
"188","KW23",2015-07-23,30.5,"KWLine_outside",2015-07-23
"189","KW22",2015-07-23,30.1,"KWLine_outside",2015-07-23
